Redes Sociais,bolo,canjica,comidas,dia,evento,festa,festas,joão,junho,junina,milho,pamonha,quentão,tradicional,típicas,Soma palavras relevantes
twitter.com,38,14,10,42,8,456,21,30,19,347,69,90,95,2,3,1244
youtube.com,33,8,15,24,1,205,21,26,16,130,114,68,68,14,10,753
tiktok.com,4,2,1,19,0,101,15,49,5,78,34,26,14,1,1,350
terra.com.br,4,5,6,4,3,83,10,5,5,56,26,8,8,3,6,232
noticias.webanuncio.com.br,1,0,5,1,5,64,6,8,7,54,3,4,1,7,5,171
awebic.com,1,0,5,0,0,55,9,39,0,43,2,2,1,0,3,160
medconst.blogspot.com,0,0,4,1,3,63,10,6,5,45,0,0,1,1,1,140
paranashop.com.br,2,1,8,12,12,20,5,0,3,13,4,2,6,3,5,96
jornaltribuna.com.br,4,0,1,4,2,23,4,10,1,19,5,3,5,4,5,90
davidgomesbalancas.wordpress.com,0,0,2,1,0,25,3,1,0,17,11,8,5,7,1,81
